קבוצה 12- ממשק קולי ממוחשב
קבוצה 9- QA
קבוצה 1 - צוות osm: עדכון על השלמת פערים
קבוצה 11 - יצירת מסלולים באמצעות ה-OSM
קבוצה 10 - צוות מסלול ידני
קבוצה 5 - צוות נסיינים בשט
קבוצה 13- UX
קבוצה 3 - נסיינים בשטח

קבוצה 6 - UX
קבוצה 4 - תיאום

קבוצה 7- ממשק קולי ידני
