emoji,emoji utf,emotion,,emotions list
💪 , b'\xf0\x9f\x92\xaa',approval,,
😃 , b'\xf0\x9f\x98\x83',happy,,
😞 , b'\xf0\x9f\x98\x9e',sad,,
🙌 , b'\xf0\x9f\x99\x8c',approval,,
😪 , b'\xf0\x9f\x98\xaa',disapproval,,
😴 , b'\xf0\x9f\x98\xb4',tired,,
☑ , b'\xe2\x98\x91',approval,,
📢 , b'\xf0\x9f\x93\xa2',else,,
🇺🇸 , b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',else,,
🇨🇳 , b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3',else,,
👑 , b'\xf0\x9f\x91\x91',materialistic,,
😢 , b'\xf0\x9f\x98\xa2',sad,,
😫 , b'\xf0\x9f\x98\xab',sad,,
💋 , b'\xf0\x9f\x92\x8b',loving,,
✔️ , b'\xe2\x9c\x94\xef\xb8\x8f',approval,,
😠 , b'\xf0\x9f\x98\xa0',angry,,
😈 , b'\xf0\x9f\x98\x88',angry,,
😬 , b'\xf0\x9f\x98\xac',scared,,
💃 , b'\xf0\x9f\x92\x83',excited,,
❗ , b'\xe2\x9d\x97',else,,
🤬 , b'\xf0\x9f\xa4\xac',angry,,
😝 , b'\xf0\x9f\x98\x9d',funny,,
😑 , b'\xf0\x9f\x98\x91',disapproval,,
🙋 , b'\xf0\x9f\x99\x8b',approval,,
💦 , b'\xf0\x9f\x92\xa6',excited,,
🤤 , b'\xf0\x9f\xa4\xa4',happy,,
😳 , b'\xf0\x9f\x98\xb3',disapproval,,
‼ , b'\xe2\x80\xbc',else,,
🙊 , b'\xf0\x9f\x99\x8a',surprised,,
➡ , b'\xe2\x9e\xa1',else,,
❌ , b'\xe2\x9d\x8c',disapproval,,
🌹 , b'\xf0\x9f\x8c\xb9',loving,,
💚 , b'\xf0\x9f\x92\x9a',loving,,
🌅 , b'\xf0\x9f\x8c\x85',relaxed,,
🗣 , b'\xf0\x9f\x97\xa3',opinion,,
🙈 , b'\xf0\x9f\x99\x88',disapproval,,
🚀 , b'\xf0\x9f\x9a\x80',excited,,
😕 , b'\xf0\x9f\x98\x95',disapproval,,
✈ , b'\xe2\x9c\x88',relaxed,,
😜 , b'\xf0\x9f\x98\x9c',funny,,
😇 , b'\xf0\x9f\x98\x87',approval,,
😖 , b'\xf0\x9f\x98\x96',sick,,
💥 , b'\xf0\x9f\x92\xa5',excited,,
😥 , b'\xf0\x9f\x98\xa5',sad,,
👊 , b'\xf0\x9f\x91\x8a',approval,,
🎃 , b'\xf0\x9f\x8e\x83',scared,,
🍻 , b'\xf0\x9f\x8d\xbb',hungry,,
😣 , b'\xf0\x9f\x98\xa3',disapproval,,
🍷 , b'\xf0\x9f\x8d\xb7',hungry,,
🤘 , b'\xf0\x9f\xa4\x98',excited,,
💰 , b'\xf0\x9f\x92\xb0',materialistic,,
🇨 , b'\xf0\x9f\x87\xa8',else,,
🍕 , b'\xf0\x9f\x8d\x95',hungry,,
🇮 , b'\xf0\x9f\x87\xae',else,,
☹ , b'\xe2\x98\xb9',opinion,,
💁 , b'\xf0\x9f\x92\x81',approval,,
™ , b'\xe2\x84\xa2',else,,
® , b'\xc2\xae',else,,
© , b'\xc2\xa9',else,,
